,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Built_Type,Built_Size,Price_sqft,Price_room,Rooms_sqft
1242,bangsar,1161850,2.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,1223.0,950.0,580925.0,611.5
1243,bukit jalil,1730000,5.0,4.0,2.0,Terrace/Link House,Fully Furnished,Land area,1840.0,940.2173913043479,346000.0,368.0
1249,wangsa maju,760000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1382.0,549.9276410998552,253333.33333333334,460.6666666666667
1262,klcc,950000,2.0,2.0,1.0,Condominium,Fully Furnished,Built-up,1429.0,664.8005598320503,475000.0,714.5
1263,bukit jalil,580000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1073.0,540.5405405405405,193333.33333333334,357.6666666666667
1264,jalan klang lama (old klang road),568000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,680.0,835.2941176470588,284000.0,340.0
1265,mont kiara,1100000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,1431.0,768.6932215234102,1100000.0,1431.0
1269,jalan ipoh,388000,2.0,1.0,1.0,Condominium,Fully Furnished,Built-up,700.0,554.2857142857143,194000.0,350.0
1273,cheras,280000,3.0,2.0,1.0,Apartment,Partly Furnished,Built-up,750.0,373.3333333333333,93333.33333333333,250.0
1275,bukit jalil,530000,3.0,2.0,2.0,Condominium,Unfurnished,Land area,1003.0,528.4147557328016,176666.66666666666,334.3333333333333
1277,kl sentral,5149700,4.0,4.0,3.0,Serviced Residence,Fully Furnished,Built-up,2982.0,1726.9282360831658,1287425.0,745.5
1283,bukit jalil,960000,3.0,2.0,2.0,Serviced Residence,Unfurnished,Built-up,1218.0,788.1773399014778,320000.0,406.0
1287,dutamas,1200000,3.0,3.0,2.0,Condominium,Partly Furnished,Built-up,1395.0,860.2150537634409,400000.0,465.0
1289,mont kiara,680000,3.0,2.0,1.0,Condominium,Fully Furnished,Built-up,1423.0,477.8636683063949,226666.66666666666,474.3333333333333
